,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
1462,1461,SoulCalibur IV,Microsoft Xbox 360,Namco Bandai,Project Soul,8.3,,1.53,2008
1466,1465,Disney Infinity,Microsoft Xbox 360,Disney Interactive Studios,Unknown,8.7,,1.53,2013
1481,1480,Forza Motorsport 7,Microsoft Xbox One,Microsoft,Turn 10 Studios,8.9,5.9,1.52,2017
1485,1484,Dead Space 2,Microsoft Xbox 360,Electronic Arts,Visceral Games,9.1,,1.52,2011
1500,1499,Madden NFL 19,Microsoft Xbox One,EA Sports,EA Tiburon,8.1,3.3,1.51,2018
1509,1508,ARK: Survival Evolved,Microsoft Xbox One,Studio Wildcard,Studio Wildcard,,,1.5,2017
1510,1509,Counter-Strike,Microsoft Xbox,Microsoft,Valve Software,7.9,,1.5,2003
1529,1528,Dead Rising 2,Microsoft Xbox 360,Capcom,Blue Castle Games,8.2,,1.49,2010
1530,1529,Medal of Honor: Frontline,Microsoft Xbox,Electronic Arts,EA Los Angeles,7.9,,1.49,2002
1539,1538,Tom Clancy's Ghost Recon: Future Soldier,Microsoft Xbox 360,Ubisoft,Ubisoft Paris,8.5,,1.48,2012
1540,1539,LEGO Star Wars III: The Clone Wars,Microsoft Xbox 360,LucasArts,Traveller's Tales,7.9,,1.48,2011
1543,1542,Sonic's Ultimate Genesis Collection,Microsoft Xbox 360,Sega,Backbone Entertainment,8.1,,1.48,2009
1554,1553,007: Quantum of Solace,Microsoft Xbox 360,Activision,Treyarch,6.6,,1.48,2008
1558,1557,Tom Clancy's Splinter Cell: Pandora Tomorrow,Microsoft Xbox,Ubisoft,Ubisoft Shanghai,9.2,9.0,1.48,2004
1565,1564,Dying Light,Microsoft Xbox One,Warner Bros,Techland,7.4,7.8,1.47,2016
1566,1565,Fight Night Round 3,Microsoft Xbox 360,EA Sports,EA Chicago,8.6,,1.47,2006
1567,1566,Ryse: Son of Rome,Microsoft Xbox One,Microsoft,Crytek,6.8,6.2,1.47,2013
1570,1569,Forza Horizon 2,Microsoft Xbox One,Microsoft,Playground Games,8.6,8.3,1.46,2014
1580,1579,Battlefield: Bad Company,Microsoft Xbox 360,Electronic Arts,EA Digital Illusions CE,8.6,,1.46,2008
1582,1581,Homefront,Microsoft Xbox 360,THQ,Kaos Studios,6.7,,1.46,2011
1592,1591,Doom (2016),Microsoft Xbox One,Bethesda Softworks,id Software,,,1.45,2016
1597,1596,Assassin's Creed Syndicate,Microsoft Xbox One,Ubisoft,Ubisoft Quebec,7.8,6.3,1.44,2015
1602,1601,Star Wars: The Force Unleashed II,Microsoft Xbox 360,LucasArts,LucasArts,6.3,,1.44,2010
1608,1607,WWE SmackDown vs Raw 2008,Microsoft Xbox 360,THQ,Yuke's Media Creations,7.3,,1.43,2007
1611,1610,Kinect Joy Ride,Microsoft Xbox 360,Microsoft,Big Park,5.6,,1.43,2010
1621,1620,Middle-Earth: Shadow of Mordor,Microsoft Xbox One,Warner Bros,Monolith Productions,,,1.42,2014
1632,1631,Injustice: Gods Among Us,Microsoft Xbox 360,Warner Bros,NetherRealm Studios,8.2,,1.42,2013
1644,1643,Fight Night Round 4,Microsoft Xbox 360,EA Sports,EA Canada,8.7,,1.4,2009
1645,1644,Spider-Man: The Movie,Microsoft Xbox,Activision,Treyarch,7.7,,1.4,2002
1646,1645,Dead Space,Microsoft Xbox 360,Electronic Arts,EA Redwood Shores,8.9,,1.4,2008
1668,1667,Sonic Generations,Microsoft Xbox 360,Sega,Sonic Team,7.7,,1.39,2011
1669,1668,Ace Combat 6: Fires of Liberation,Microsoft Xbox 360,Namco Bandai,Namco Bandai Games,8.1,,1.39,2007
1673,1672,Assassin's Creed Odyssey,Microsoft Xbox One,Ubisoft,Ubisoft Quebec,8.7,5.6,1.39,2018
1677,1676,True Crime: Streets of LA,Microsoft Xbox,Activision,Luxoflux,,,1.38,2003
1678,1677,Deus Ex: Human Revolution,Microsoft Xbox 360,Square Enix,Eidos Montreal,8.8,,1.38,2011
1680,1679,Rocket League,Microsoft Xbox One,505 Games,Psyonix Studios,8.0,8.2,1.38,2016
1683,1682,The Elder Scrolls Online: Tamriel Unlimited,Microsoft Xbox One,Bethesda Softworks,ZeniMax Online Studios,7.7,8.3,1.38,2015
1684,1683,Titanfall,Microsoft Xbox 360,Electronic Arts,Respawn Entertainment,8.9,,1.38,2014
1687,1686,Titanfall 2,Microsoft Xbox One,Electronic Arts,Respawn Entertainment,8.7,8.3,1.37,2016
1690,1689,Crysis 2,Microsoft Xbox 360,Electronic Arts,Crytek,8.7,,1.37,2011
1700,1699,Star Wars Knights of the Old Republic II: The Sith Lords,Microsoft Xbox,LucasArts,Obsidian Entertainment,9.3,9.3,1.37,2004
1703,1702,Need for Speed: The Run,Microsoft Xbox 360,Electronic Arts,EA Black Box,5.5,,1.37,2011
1706,1705,Tom Clancy's Ghost Recon 2,Microsoft Xbox,Ubisoft,Red Storm Entertainment,8.8,,1.36,2004
