,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
62,304,Guitar Hero III: Legends of Rock,Nintendo Wii,RedOctane,Vicarious Visions,8.6,,4.6,2007
8817,303,Forza Motorsport 4,Microsoft Xbox 360,Microsoft,Turn 10 Studio,9.1,,4.6,2011
63,306,"Pokemon: Let's Go, Pikachu!",Nintendo Switch,Nintendo,Game Freak,8.3,6.1,4.57,2018
3142,309,FIFA 15,Sony PlayStation 3,EA Sports,EA Canada,6.9,,4.56,2014
64,310,Mario & Sonic at the Olympic Winter Games,Nintendo Wii,Sega,Sega,6.8,,4.54,2009
3143,311,Overwatch,Sony Playstation 4,Blizzard Entertainment,Blizzard Entertainment,8.8,6.4,4.54,2016
3144,312,Madden NFL 2005,Sony PlayStation 2,EA Sports,EA Tiburon,9.5,,4.53,2004
3145,314,Star Wars Battlefront II (2017),Sony Playstation 4,Electronic Arts,EA DICE,,,4.53,2017
8818,313,Guitar Hero III: Legends of Rock,Microsoft Xbox 360,RedOctane,Neversoft,8.7,,4.53,2007
3146,318,LittleBigPlanet,Sony PlayStation 3,Sony,Media Molecule,9.4,9.2,4.5,2008
3147,324,Madden NFL 07,Sony PlayStation 2,EA Sports,EA Tiburon,8.5,,4.49,2006
3148,325,Spider-Man: The Movie,Sony PlayStation 2,Activision,Treyarch,8.2,,4.48,2002
8819,326,The Elder Scrolls IV: Oblivion,Microsoft Xbox 360,Take-Two Interactive,Bethesda Softworks,9.2,,4.47,2009
65,327,The Legend of Zelda: The Wind Waker,Nintendo GameCube,Nintendo,Nintendo EAD,9.6,,4.43,2003
3149,328,Tony Hawk's Pro Skater 3,Sony PlayStation 2,Activision,Neversoft Entertainment,9.1,,4.41,2001
3150,329,Winning Eleven: Pro Evolution Soccer 2007,Sony PlayStation 2,Konami,Konami Computer Entertainment Tokyo,8.8,,4.39,2007
66,330,The Legend of Zelda: Link's Awakening,Nintendo Switch,Nintendo,Nintendo,8.7,8.4,4.38,2019
67,331,Zelda II: The Adventure of Link,NES,Nintendo,Nintendo EAD,,,4.38,1988
68,332,Michael Jackson: The Experience,Nintendo Wii,Ubisoft,Ubisoft Montpellier,5.6,,4.37,2010
3151,333,Tom Clancy's The Division,Sony Playstation 4,Ubisoft,Massive Entertainment,8.0,7.0,4.37,2016
3152,334,Need for Speed: Most Wanted,Sony PlayStation 2,Electronic Arts,EA Canada,8.6,,4.37,2005
3153,335,Resistance: Fall of Man,Sony PlayStation 3,Sony,Insomniac Games,8.5,9.1,4.37,2006
3154,336,Tom Clancy's Rainbow Six: Siege,Sony Playstation 4,Ubisoft,Ubisoft Montreal,,,4.36,2015
8820,337,Call of Duty: Advanced Warfare,Microsoft Xbox 360,Activision,High Moon Studios,9.1,,4.34,2014
69,339,Animal Crossing: City Folk,Nintendo Wii,Nintendo,Nintendo EAD,7.1,8.8,4.32,2008
3155,338,Watch Dogs,Sony Playstation 4,Ubisoft,Ubisoft Montreal,8.0,6.4,4.32,2014
3156,342,Dragon Quest VII,Sony PlayStation,Enix,Heart Beat,8.0,3.0,4.3,2001
8821,344,The Witcher 3: Wild Hunt,Microsoft Xbox One,Warner Bros,CD Projekt Red Studio,9.1,9.2,4.3,2015
3157,345,Batman: Arkham Asylum,Sony PlayStation 3,Eidos Interactive,Rocksteady Studios,9.0,,4.28,2009
3158,346,Call of Duty: Advanced Warfare,Sony PlayStation 3,Activision,High Moon Studios,9.1,,4.27,2014
3159,347,God of War II,Sony PlayStation 2,Sony,SCEA Santa Monica Studio,9.3,9.8,4.24,2007
70,350,Super Paper Mario,Nintendo Wii,Nintendo,Intelligent Systems,8.5,,4.23,2007
3160,351,Assassin's Creed: Revelations,Sony PlayStation 3,Ubisoft,Ubisoft Montreal,8.8,,4.23,2011
3161,352,Metal Gear Solid 3: Snake Eater,Sony PlayStation 2,Konami,KCEJ / Kojima Productions,9.0,,4.23,2004
8822,353,Assassin's Creed: Revelations,Microsoft Xbox 360,Ubisoft,Ubisoft Montreal,7.9,,4.22,2011
3162,354,FIFA Soccer 06,Sony PlayStation 2,EA Sports,EA Canada,8.4,,4.21,2005
3163,343,Mortal Kombat 11,Sony Playstation 4,NetherRealm Studios,Warner Bros,8.2,3.6,4.2,2019
3164,357,Street Fighter IV,Sony PlayStation 3,Capcom,Capcom / Dimps Corporation,9.3,9.0,4.19,2009
8823,359,FIFA Soccer 12,Microsoft Xbox 360,EA Sports,EA Canada,9.2,,4.18,2011
71,361,Teenage Mutant Ninja Turtles,NES,Ultra Games,Konami,5.9,,4.17,1989
3165,360,Call of Duty: Ghosts,Sony Playstation 4,Activision,Infinity Ward,7.5,3.8,4.17,2013
72,363,Excitebike,NES,Nintendo,Nintendo R&D1,8.4,,4.16,1985
3166,364,Frogger,Sony PlayStation,Hasbro Interactive,Millenium Interactive,2.0,,4.16,1997
8824,365,Star Wars Battlefront (2015),Microsoft Xbox One,Electronic Arts,EA DICE,6.9,,4.15,2015
8825,366,FIFA 14,Microsoft Xbox 360,EA Sports,EA Canada,9.1,,4.15,2013
3167,367,Madden NFL 2003,Sony PlayStation 2,EA Sports,EA Tiburon,9.4,,4.14,2002
3168,368,Assassin's Creed: Unity,Sony Playstation 4,Ubisoft,Ubisoft Montreal,,,4.14,2014
