,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
742,741,Clubhouse Games,Nintendo DS,Nintendo,Agenda,8.3,,2.57,2006
747,746,Kirby Star Allies,Nintendo Switch,Nintendo,HAL Laboratory,8.1,10.0,2.56,2018
748,747,Kirby: Triple Deluxe,Nintendo 3DS,Nintendo,HAL Laboratory,7.8,8.7,2.56,2014
750,749,Pokemon Stadium 2,Nintendo 64,Nintendo,HAL Laboratory,7.9,,2.54,2001
755,754,Perfect Dark,Nintendo 64,Rare,Rare Ltd.,9.7,,2.52,2000
765,764,Dragon Quest II,Nintendo Entertainment System,Enix,ChunSoft,,,2.5,1990
774,773,Game Party,Nintendo Wii,Midway Games,JGI Entertainment,2.6,,2.49,2007
777,776,Mario Party 2,Nintendo 64,Nintendo,Hudson Soft,7.9,,2.48,2000
785,784,WarioWare Touched!,Nintendo DS,Nintendo,Intelligent Systems,7.8,,2.47,2005
789,788,Mario Party 4,Nintendo GameCube,Nintendo,Hudson Soft,7.0,,2.46,2002
790,789,Paper Mario: Sticker Star,Nintendo 3DS,Nintendo,Intelligent Systems,8.3,5.7,2.46,2012
793,792,LEGO Harry Potter: Years 1-4,Nintendo Wii,Warner Bros. Interactive,Traveller's Tales,7.9,,2.45,2010
794,793,uDraw Studio,Nintendo Wii,THQ,"Pipeworks Software, Inc.",,,2.44,2010
799,798,Ice Hockey,Nintendo Entertainment System,Nintendo,Nintendo,7.0,,2.42,1988
806,805,Pokemon Colosseum,Nintendo GameCube,Nintendo,Genius Sonority Inc.,7.0,,2.41,2004
815,814,Final Fantasy V,Super Nintendo Entertainment System,Square,SquareSoft,7.5,,2.4,1992
817,816,Pro Wrestling,Nintendo Entertainment System,Nintendo,TRY Corporation,,,2.4,1987
822,821,Frogger's Adventures: Temple of the Frog,Game Boy Advance,Konami,Konami,6.7,,2.39,2001
824,823,Mario & Sonic at the London 2012 Olympic Games,Nintendo Wii,Sega,Sega,6.8,,2.39,2011
829,828,WCW/nWo Revenge,Nintendo 64,THQ,Aki Corp.,,,2.38,1998
839,838,Kirby's Dream Land 2,Game Boy,Nintendo,HAL Laboratory,,,2.36,1995
840,839,Pokemon Mystery Dungeon: Red Rescue Team,Game Boy Advance,Nintendo,ChunSoft,6.5,,2.36,2006
842,841,Donkey Kong Land 2,Game Boy,Nintendo,Rare Ltd.,,,2.35,1996
843,842,Dragon Quest Monsters,Game Boy,Eidos Interactive,TOSE,,,2.35,1999
844,843,Pokemon Ranger: Shadows of Almia,Nintendo DS,Nintendo,HAL Laboratory,6.7,,2.35,2008
846,845,WarioWare: Smooth Moves,Nintendo Wii,Nintendo,Intelligent Systems,8.2,,2.35,2007
